latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
43.327,-123.841,329.5,1.1,1.1,2020-10-26,0625,T,100,6.0NRT,275.2,40.7,N
53.588,-104.39,302.3,1,1,2020-10-26,1820,T,52,6.0NRT,272.3,10.4,D
52.73,-109.282,308.6,1,1,2020-10-26,1820,T,67,6.0NRT,267.4,14.6,D
52.728,-109.267,301.3,1,1,2020-10-26,1820,T,40,6.0NRT,266.3,10,D
50.935,-99.343,326.2,1.8,1.3,2020-10-26,1820,T,69,6.0NRT,270.2,70.4,D
52.049,-105.36,308.4,1,1,2020-10-26,1820,T,67,6.0NRT,272.3,13.9,D
52.022,-106.581,301.8,1,1,2020-10-26,1820,T,49,6.0NRT,276.8,8.3,D
52.162,-107.963,324.9,1,1,2020-10-26,1820,T,83,6.0NRT,273.9,26.9,D
48.228,-118.394,312.4,4.1,1.9,2020-10-26,2000,T,68,6.0NRT,270.7,119.5,D
48.211,-118.34,311.2,4.1,1.9,2020-10-26,2000,T,54,6.0NRT,270.6,111,D
48.223,-118.4,304.1,4.1,1.9,2020-10-26,2000,T,58,6.0NRT,270.5,86.5,D
48.208,-118.347,312.9,4.1,1.9,2020-10-26,2000,T,73,6.0NRT,270.6,133.3,D
47.423,-124.021,305,2.3,1.5,2020-10-26,2000,T,60,6.0NRT,281.7,29.3,D
42.682,-111.595,303.7,1.6,1.2,2020-10-26,2005,A,49,6.0NRT,281.6,17.5,D
47.043,-116.504,314,2.2,1.4,2020-10-26,2005,A,74,6.0NRT,268.8,58.5,D
48.217,-118.353,317.2,2.5,1.5,2020-10-26,2005,A,77,6.0NRT,270.5,75.8,D
48.209,-118.385,340.6,2.5,1.5,2020-10-26,2005,A,92,6.0NRT,272.9,192.5,D
48.222,-118.392,307.6,2.5,1.5,2020-10-26,2005,A,66,6.0NRT,271,47.9,D
48.209,-118.354,304.9,2.5,1.5,2020-10-26,2005,A,52,6.0NRT,270.6,38.9,D
48.201,-118.385,312.8,2.5,1.5,2020-10-26,2005,A,73,6.0NRT,271.4,61.8,D
48.222,-118.36,320.9,2.5,1.5,2020-10-26,2005,A,80,6.0NRT,270.4,86.9,D
48.214,-118.392,331.6,2.5,1.5,2020-10-26,2005,A,87,6.0NRT,272.3,137.6,D
50.833,-103.966,315.6,1.2,1.1,2020-10-26,2005,A,76,6.0NRT,274.7,23.6,D
50.831,-103.983,328.5,1.2,1.1,2020-10-26,2005,A,86,6.0NRT,275.5,41.1,D
50.721,-105.26,301.4,1.1,1,2020-10-26,2005,A,47,6.0NRT,278.4,8.6,D
51.653,-106.312,305.5,1.1,1,2020-10-26,2005,A,62,6.0NRT,276.3,11.3,D
52.045,-105.349,331.6,1.1,1.1,2020-10-26,2005,A,87,6.0NRT,276.5,42.3,D
52.724,-109.285,301.7,1,1,2020-10-26,2005,A,48,6.0NRT,274.2,8.2,D
53.898,-110.479,304.2,1,1,2020-10-26,2005,A,58,6.0NRT,271.3,10.2,D
53.907,-110.482,302.7,1,1,2020-10-26,2005,A,53,6.0NRT,270.8,9.5,D
46.712,-123.68,308.1,1.8,1.3,2020-10-26,2145,A,67,6.0NRT,283.9,23.2,D
46.71,-123.703,301.7,1.8,1.3,2020-10-26,2145,A,35,6.0NRT,283.7,13.9,D
46.707,-123.686,303.5,1.8,1.3,2020-10-26,2145,A,56,6.0NRT,283.7,17.5,D
46.718,-123.688,301.7,1.8,1.3,2020-10-26,2145,A,48,6.0NRT,283.6,15,D
49.828,-121.228,302.5,2.6,1.6,2020-10-26,2145,A,50,6.0NRT,270,41.3,D
47.132,-116.526,302.2,1.1,1,2020-10-27,0530,T,47,6.0NRT,269.3,11.4,N
48.217,-118.367,300,1.1,1.1,2020-10-27,0530,T,13,6.0NRT,267.9,11.7,N
48.22,-118.373,316,1.1,1.1,2020-10-27,0530,T,92,6.0NRT,268.3,25,N
48.366,-118.533,303.2,1.2,1.1,2020-10-27,0530,T,54,6.0NRT,266.1,14.4,N
44.945,-75.429,302,1.2,1.1,2020-10-27,1545,T,50,6.0NRT,278.4,10.5,D
44.608,-92.552,302.6,1.2,1.1,2020-10-27,1725,T,46,6.0NRT,273.6,12.4,D
41.818,-94.743,305.9,1.1,1.1,2020-10-27,1725,T,62,6.0NRT,276.9,12,D
48.643,-118.847,308.6,1,1,2020-10-27,1905,T,67,6.0NRT,269.2,14.3,D
48.641,-118.833,303.4,1,1,2020-10-27,1905,T,56,6.0NRT,269.8,11,D
48.265,-118.574,315,1,1,2020-10-27,1905,T,63,6.0NRT,269.1,19.1,D
48.263,-118.561,315.2,1,1,2020-10-27,1905,T,63,6.0NRT,268.3,19.3,D
47.168,-116.722,305.7,1.2,1.1,2020-10-27,1905,T,58,6.0NRT,273,13.7,D
46.534,-115.773,346.8,1.3,1.1,2020-10-27,1905,T,89,6.0NRT,276.3,86.9,D
46.524,-115.777,326.4,1.3,1.1,2020-10-27,1905,T,80,6.0NRT,275.1,42.7,D
46.302,-115.825,301.1,1.3,1.1,2020-10-27,1905,T,44,6.0NRT,269.5,12.4,D
46.292,-115.828,304,1.3,1.1,2020-10-27,1905,T,58,6.0NRT,270.5,14.9,D
45.576,-121.164,306,1,1,2020-10-27,1905,T,57,6.0NRT,285.6,7.6,D
45.103,-118.234,320.6,1.1,1,2020-10-27,1905,T,80,6.0NRT,279,25.9,D
45.1,-118.221,311.6,1.1,1,2020-10-27,1905,T,71,6.0NRT,278,17,D
45.195,-119.24,314.6,1,1,2020-10-27,1905,T,75,6.0NRT,281,17.4,D
45.193,-119.227,314.1,1,1,2020-10-27,1905,T,74,6.0NRT,280.3,17.1,D
45.048,-118.402,326.5,1.1,1,2020-10-27,1905,T,84,6.0NRT,282.3,31.4,D
45.045,-118.388,319.3,1.1,1,2020-10-27,1905,T,79,6.0NRT,281.7,22.7,D
44.609,-118.905,306,1.1,1,2020-10-27,1905,T,63,6.0NRT,282.4,10.6,D
43.46,-121.132,302.7,1,1,2020-10-27,1905,T,53,6.0NRT,292.2,3.3,D
41.122,-123.237,311.6,1,1,2020-10-27,1905,T,71,6.0NRT,288.5,10.8,D
56.905,-121.172,311.7,1.2,1.1,2020-10-27,1900,T,72,6.0NRT,276.6,20.4,D
56.903,-121.152,312.8,1.2,1.1,2020-10-27,1900,T,73,6.0NRT,276.5,21.5,D
40.815,-95.134,302.5,1.3,1.1,2020-10-27,1910,A,52,6.0NRT,278.6,12.1,D
40.813,-95.149,305.5,1.3,1.1,2020-10-27,1910,A,62,6.0NRT,278.6,14.8,D
